Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
Varsims,com.bina.varsim.types,FlexSeq.Builder,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
Varsims,com.bina.varsim.types,MapRecord,Law of Demeter violation,The tool detected the smell in this method (generateNewMapRecord) because the method voilates the law of Demeter. The long chain of method invocations is : com.bina.varsim.types.ChrString.toString; com.bina.varsim.types.FlexSeq.getChr2
Varsims,com.bina.varsim.types,MapRecord,Law of Demeter violation,The tool detected the smell in this method (generateNewMapRecord) because the method voilates the law of Demeter. The long chain of method invocations is : com.bina.varsim.types.ChrString.toString; com.bina.varsim.types.FlexSeq.getChr2
Varsims,com.bina.varsim.types,ParentRecord,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.bina.varsim.types.stats.Type_record
Varsims,com.bina.varsim.types,ParentRecord,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: PATERNAL; MATERNAL
Varsims,com.bina.varsim.types,ReadMapBlock,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.bina.varsim.fastqLiftover.types.GenomeInterval
Varsims,com.bina.varsim.types,ReadMapBlock,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: SEPARATOR
Varsims,com.bina.varsim.types,ReadMapRecord,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: COLUMN_SEPARATOR; MAP_BLOCK_SEPARATOR
Varsims,com.bina.varsim.types,Sequence,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: a; c; g; t; n; A; C; G; T; N
Varsims,com.bina.varsim.types,AltTest,Law of Demeter violation,The tool detected the smell in this method (altTest) because the method voilates the law of Demeter. The long chain of method invocations is : com.bina.varsim.types.variant.alt.Alt.altFactory; com.bina.varsim.types.variant.alt.Alt.getSymbolicAllele
Varsims,com.bina.varsim.types,AltTest,Law of Demeter violation,The tool detected the smell in this method (altTest) because the method voilates the law of Demeter. The long chain of method invocations is : com.bina.varsim.types.variant.alt.Alt.getBreakend; com.bina.varsim.types.variant.alt.Alt.altFactory
Varsims,com.bina.varsim.types,AltTest,Law of Demeter violation,The tool detected the smell in this method (altTest) because the method voilates the law of Demeter. The long chain of method invocations is : com.bina.varsim.types.variant.alt.Alt.altFactory; com.bina.varsim.types.FlexSeq.toString; com.bina.varsim.types.variant.alt.Alt.getSeq
Varsims,com.bina.varsim.types.constraint,ConstraintRecord,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.bina.varsim.types.constraint.Constraint; com.bina.varsim.types.stats.RatioRecord
Varsims,com.bina.varsim.types.constraint,ConstraintRecord,Law of Demeter violation,The tool detected the smell in this method (inc) because the method voilates the law of Demeter. The long chain of method invocations is : com.bina.intervalTree.SimpleInterval1D.contains; com.bina.varsim.types.constraint.Constraint.getRange
Varsims,com.bina.varsim.types.constraint,UnsatisfiedConstraintException.valuePair,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
Varsims,com.bina.varsim.types.stats,EnumStatsRatioCounter,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.bina.varsim.types.stats.StatsRatioRecord
Varsims,com.bina.varsim.types.stats,MapRatioRecordSum,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.bina.varsim.types.stats.RatioRecordSum
Varsims,com.bina.varsim.types.stats,StatsRatioRecord,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.bina.varsim.types.stats.RatioRecord
Varsims,com.bina.varsim.types.stats,Type_record,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.bina.varsim.types.stats.Stats_record
Varsims,com.bina.varsim.types.stats,MapRatioRecordSumTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.bina.varsim.types.stats.MapRatioRecordSum
Varsims,com.bina.varsim.types.variant.alt,Alt.SymbolicAllele,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
Varsims,com.bina.varsim.types.variant.alt,Alt.Breakend,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
Varsims,com.bina.varsim.types.variant,Variant,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 11
Varsims,com.bina.varsim.types.variant,Variant,Law of Demeter violation,The tool detected the smell in this method (getGenotypeUnionAlternativeInterval) because the method voilates the law of Demeter. The long chain of method invocations is : com.bina.intervalTree.SimpleInterval1D.union; com.bina.varsim.types.variant.Variant.getAlternativeAlleleInterval
Varsims,com.bina.varsim.types.variant,Variant,Law of Demeter violation,The tool detected the smell in this method (getGenotypeUnionVariantInterval) because the method voilates the law of Demeter. The long chain of method invocations is : com.bina.intervalTree.SimpleInterval1D.union; com.bina.varsim.types.variant.Variant.getVariantInterval
Varsims,com.bina.varsim.types.variant,Variant,Law of Demeter violation,The tool detected the smell in this method (getMinMatchLength) because the method voilates the law of Demeter. The long chain of method invocations is : com.bina.varsim.types.variant.Variant.getAlt; com.bina.varsim.types.variant.alt.Alt.getSequence
Varsims,com.bina.varsim.types.variant,Variant,Law of Demeter violation,The tool detected the smell in this method (getMinMatchLength) because the method voilates the law of Demeter. The long chain of method invocations is : com.bina.varsim.types.variant.Variant.getAlt; com.bina.varsim.types.variant.alt.Alt.getSequence
Varsims,com.bina.varsim.types.variant,Variant,Law of Demeter violation,The tool detected the smell in this method (getType) because the method voilates the law of Demeter. The long chain of method invocations is : com.bina.varsim.types.FlexSeq.toString; com.bina.varsim.types.variant.alt.Alt.getSeq
Varsims,com.bina.varsim.types.variant,Variant,Law of Demeter violation,The tool detected the smell in this method (alternativeAlleleString) because the method voilates the law of Demeter. The long chain of method invocations is : com.bina.varsim.types.FlexSeq.isSeq; com.bina.varsim.types.variant.alt.Alt.getSeq
Varsims,com.bina.varsim.types.variant,Variant,Law of Demeter violation,The tool detected the smell in this method (alternativeAlleleString) because the method voilates the law of Demeter. The long chain of method invocations is : com.bina.varsim.types.FlexSeq.toString; com.bina.varsim.types.variant.alt.Alt.getSeq
Varsims,com.bina.varsim.types.variant,Variant,Law of Demeter violation,The tool detected the smell in this method (alternativeAlleleString) because the method voilates the law of Demeter. The long chain of method invocations is : com.bina.varsim.types.FlexSeq.toString; com.bina.varsim.types.variant.alt.Alt.getSeq
Varsims,com.bina.varsim.types.variant,Variant,Law of Demeter violation,The tool detected the smell in this method (isAltACTGN) because the method voilates the law of Demeter. The long chain of method invocations is : com.bina.varsim.types.FlexSeq.toString; com.bina.varsim.types.variant.alt.Alt.getSeq
Varsims,com.bina.varsim.types.variant,Variant.Builder,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
Varsims,com.bina.varsim.util,chrSearchTree,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.bina.intervalTree.IntervalTree
Varsims,com.bina.varsim.util,DGVparser,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.bina.varsim.types.variant.alt.Alt
Varsims,com.bina.varsim.util,DGVparser,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: DGV_HEADER_START; DGV_COLUMN_SEPARATOR
